#name,triggerType,triggerposX,triggerposY,triggerposZ,triggerradius,spawnposX,spawnposY,spawnposZ
Alien,PlayerNear,-1834,40,-1160,800,-1874,200,-1163
Angel,PlayerNear,-1874,40,-1803,800,-1834,40,-1803
Alien,PlayerNear,-150,0,-4383,800,-200,300,-4583
Angel,PlayerNear,0,0,500,800,0,300,600
Creature,PlayerNear,-4035,879,-4430,1200,-4035,880,-4430
Alien,PlayerNear,-3103,0,-600,400,-3103,300,-600
Alien,PlayerNear,-3153,0,-230,400,-3153,300,-230
Angel,PlayerNear,-3514,0,-2131,200,-3514,3,-2131
Angel,PlayerNear,-5198,0,-1107,500,-4857,3,-1216
Alien,PlayerNear,-5198,0,-1107,500,-5517,300,-1383
Alien,PlayerNear,-5198,0,-1107,500,-5518,300,-709
Alien,PlayerNear,-5198,0,-1107,500,-4760,400,-1872
Angel,PlayerNear,-3195,896,-1496,500,-3500,900,-1944
Angel,PlayerNear,-3195,896,-1496,500,-2874,900,-1927
